,title,subtitles,links
0,FERD DEGREE,Fans warn 'don't show Keane' as they see Rio's shock reaction to Haaland goals,https://www.thesun.co.uk/sport/21715671/rio-ferdinand-roy-keane-haaland-man-city/
1,MAN CITY 7 RB LEIPZIG 0 (AGG 8-1),Haaland scores FIVE as Pep & Co storm into UCL quarters,https://www.thesun.co.uk/sport/21715273/man-city-rb-leipzig-haaland-scores-five-goals/
2,RACIST FAN BAN,"Fan, 24, who racially abused Ivan Toney banned from every ground in UK",https://www.thesun.co.uk/sport/21713601/fan-racially-abused-ivan-toney-online-banned-every-ground/
3,POTT OF GOLD,Chelsea to get whopping £50million cash injection thanks to Fifa decision,https://www.thesun.co.uk/sport/21714093/chelsea-fifa-world-club/
4,MAJOR DEALS,Cheltenham Festival free bets and sign up deals: Best customers offers - day 2,https://www.thesun.co.uk/sport/21633326/cheltenham-festival-2023-free-bets-deals-best-offers-racing/
5,CHELTENHAM DEAL,Get £60 in free bets when you bet £20 with Bet UK this week,https://www.thesun.co.uk/sport/21607557/bet-uk-cheltenham-festival-free-bets-bonus-sign-up/
6,TOP 40,Get £40 in free bets for the Cheltenham Festival with Tote sign-up special,https://www.thesun.co.uk/sport/21647140/tote-free-bets-sign-up-bonus-offer-cheltenham-festival/
7,FREEBIE,Cheltenham Festival free bets: Get a £40 welcome bonus with Sky Bet,https://www.thesun.co.uk/sport/horseracing/19933633/sky-bet-sign-up-free-bets-40/
8,ED CASE,Fans can’t believe it as Ederson gets away with brutal flying ‘kung fu kick',https://www.thesun.co.uk/sport/21714828/man-city-ederson-kick-timo-werner/
9,SHEAR LUNACY,Shearer slams handball law as Man City given 'worst pen call ever' vs Leipzig,https://www.thesun.co.uk/sport/21714580/shearer-man-city-leipzig/
10,'CHARACTER IN HOGWARTS',Fans in stitches as Guardiola takes cover from sleet in giant hood,https://www.thesun.co.uk/sport/21715004/guardiola-takes-cover-sleet-giant-hood/
11,ROM ROCKED,Inter chief confirms Lukaku WILL return to Chelsea amid doubts on his fitness,https://www.thesun.co.uk/sport/21714742/romelu-lukaku-chelsea-return-inter-loan-transfer/
12,HARRY PAIN,Tottenham ‘will BLOCK Kane exit this summer and risk star quitting for FREE’,https://www.thesun.co.uk/sport/21715595/tottenham-block-kane-transfer-this-summer/
