,names,ratings,cost,dish,deliveryin_min,order
0,Ovenstory Pizza,3.9,₹300 for one,"Pizza, Fast Food",31 min,2100+ orders placed from here recently
1,Bakingo,4.2,₹300 for one,"Bakery, Desserts",26 min,4175+ orders placed from here recently
2,Meghana Foods,4.3,₹300 for one,"Biryani, Andhra, North Indian, Seafood",34 min,30325+ orders placed from here recently
3,McDonald's,3.9,₹200 for one,"Burger, Fast Food",22 min,7625+ orders placed from here recently
4,Pizza Hut,3.6,₹200 for one,"Pizza, Fast Food, Desserts, Beverages",27 min,5150+ orders placed from here recently
5,Udupi Palace,3.9,₹200 for one,"South Indian, North Indian, Street Food, Fast Food, Chinese, Shake",21 min,13775+ orders placed from here recently
6,Families Food Court,3.8,₹200 for one,"North Indian, Chinese, Biryani, Mughlai, Rolls, Seafood, Kebab",21 min,5800+ orders placed from here recently
7,California Burrito,4.1,₹200 for one,"Mexican, Fast Food, Beverages",19 min,9850+ orders placed from here recently
8,HSR Fresh Cane Juice,3.7,₹200 for one,"Juices, Beverages",28 min,125+ orders placed from here recently
9,Onesta,3.7,₹200 for one,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",22 min,2450+ orders placed from here recently
10,Kapoor's Cafe,3.9,₹200 for one,"North Indian, Street Food, Desserts, Beverages",22 min,8425+ orders placed from here recently
11,Szechuan Dragon,4.0,₹200 for one,"Chinese, Asian, Thai, Momos",26 min,7450+ orders placed from here recently
12,Rajasthani Taj Restaurant,3.0,₹200 for one,"North Indian, Chinese, Street Food, Rajasthani",45 min,6300+ orders placed from here recently
13,Biriyani Zone,4.0,₹200 for one,"Biryani, North Indian, Mughlai, Chinese, Kebab, Seafood, Desserts",22 min,5300+ orders placed from here recently
14,Sharief Bhai,3.8,₹200 for one,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",29 min,9200+ orders placed from here recently
15,Donne Biriyani House,3.6,₹150 for one,"Biryani, South Indian",16 min,11000+ orders placed from here recently
16,Falahaar & Kota Kachori,3.7,₹150 for one,"North Indian, Rajasthani, Fast Food, Mithai, Beverages, Desserts",20 min,9225+ orders placed from here recently
17,Biryani King,3.5,₹150 for one,Biryani,36 min,2025+ orders placed from here recently
18,Kerala Ithaa's,3.6,₹150 for one,"Kerala, South Indian, Seafood, Biryani, Chinese, Beverages",16 min,2450+ orders placed from here recently
19,Nandhana Palace,4.0,₹300 for one,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",37 min,6125+ orders placed from here recently
20,Imperio Restaurant,3.5,₹300 for one,"North Indian, Biryani, Arabian, Chinese, Kebab, Beverages, Juices, Sichuan",36 min,3200+ orders placed from here recently
21,Polar Bear,4.1,₹300 for one,"Ice Cream, Desserts, Bakery",14 min,1100+ orders placed from here recently
22,Chickpet Donne Biryani House,3.9,₹300 for one,"Biryani, South Indian, Chinese",46 min,1100+ orders placed from here recently
23,Kannur Food Kitchen,3.7,₹150 for one,"South Indian, Biryani, Chinese, Arabian, Beverages, Shake",40 min,38925+ orders placed from here recently
24,Andhra Gunpowder,4.2,₹150 for one,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",22 min,4800+ orders placed from here recently
25,Behrouz Biryani,4.1,₹150 for one,"Biryani, Kebab, North Indian",19 min,1700+ orders placed from here recently
26,EasyBites by Empire,4.0,₹150 for one,"Burger, Fast Food, Beverages",26 min,4050+ orders placed from here recently
27,Taco Bell,3.9,₹150 for one,"Mexican, Wraps, Fast Food",20 min,6175+ orders placed from here recently
28,NIC Ice Creams,4.4,₹150 for one,Ice Cream,15 min,2875+ orders placed from here recently
29,Aromas Of Biryani,3.9,₹150 for one,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",33 min,12725+ orders placed from here recently
30,Dindigul Thalappakatti,4.0,₹150 for one,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",21 min,2400+ orders placed from here recently
31,Wendy's Burgers,3.7,₹200 for one,"Burger, Fast Food, American",36 min,2850+ orders placed from here recently
32,Anand Sweets And Savouries,4.2,₹200 for one,"Mithai, Street Food, Beverages, Desserts",33 min,9850+ orders placed from here recently
33,Rolls On Wheels,4.2,₹200 for one,"Rolls, Fast Food, Chinese",23 min,6550+ orders placed from here recently
34,Pizza @99,3.3,₹200 for one,"Pizza, Fast Food",37 min,575+ orders placed from here recently
35,Punjabi Nawabi,3.9,₹200 for one,"North Indian, Biryani, Mughlai, Chinese, Kebab",26 min,12125+ orders placed from here recently
36,Chulha Chauki Da Dhaba,3.9,₹200 for one,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",42 min,5225+ orders placed from here recently
37,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",4.0,₹200 for one,"Beverages, Shake, Desserts, Ice Cream",26 min,450+ orders placed from here recently
38,The Pizza Bakery,4.0,₹200 for one,"Pizza, Pasta, Italian, Continental, Desserts, Beverages",44 min,3750+ orders placed from here recently
39,Baskin Robbins,4.5,₹150 for one,"Ice Cream, Desserts, Beverages",17 min,1500+ orders placed from here recently
40,New Udupi Grand,4.0,₹150 for one,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",29 min,8300+ orders placed from here recently
41,Kolkata Kathi Rolls,3.9,₹150 for one,"Rolls, Biryani, Chinese, North Indian, Sichuan",49 min,10225+ orders placed from here recently
42,Smoor,4.4,₹150 for one,"Bakery, Desserts",19 min,2800+ orders placed from here recently
43,Pathaan Sir,3.9,₹150 for one,"Rolls, Fast Food, North Indian, Chinese, Momos",16 min,4850+ orders placed from here recently
44,Donne Biryani Mane,3.2,₹150 for one,"North Indian, Biryani",22 min,625+ orders placed from here recently
45,Anjappar,3.9,₹150 for one,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",21 min,2400+ orders placed from here recently
46,Arabian Shawarma,3.8,₹150 for one,"Shawarma, Fast Food, Beverages",30 min,1300+ orders placed from here recently
47,Shanghai Court,4.1,₹250 for one,"Chinese, Thai, Sichuan, Seafood, Beverages, Desserts",44 min,2650+ orders placed from here recently
48,Kataria's,3.5,₹250 for one,"North Indian, Biryani, Beverages",32 min,1850+ orders placed from here recently
49,UBQ By Barbeque Nation,3.6,₹250 for one,"North Indian, BBQ, Chinese, Street Food, Kebab, Beverages, Desserts",31 min,475+ orders placed from here recently
50,Asha Sweet Center,4.0,₹250 for one,"Mithai, Bakery, Desserts",23 min,375+ orders placed from here recently
51,Keventers - Milkshakes & Desserts,4.1,₹250 for one,"Shake, Beverages, Desserts",15 min,1475+ orders placed from here recently
52,Swad Punjab Da,4.2,₹250 for one,North Indian,34 min,15750+ orders placed from here recently
53,WOW! China,3.9,₹250 for one,"Chinese, Rolls",28 min,1525+ orders placed from here recently
54,Punjabi Nukkad Pure Veg,3.8,₹250 for one,"North Indian, Chinese, Mughlai",27 min,14000+ orders placed from here recently
55,99 Varieties Dosa & Pav Bhaji,3.6,₹100 for one,South Indian,20 min,2900+ orders placed from here recently
56,Zomoz - The Momo Company,4.0,₹100 for one,"Momos, Fast Food",35 min,550+ orders placed from here recently
57,99 Variety Dosa & Pav Bhaji,3.7,₹100 for one,"South Indian, Maharashtrian",15 min,7625+ orders placed from here recently
58,Sri Srinivas Pork Hotel,3.4,₹100 for one,Fast Food,37 min,1925+ orders placed from here recently
59,Muthashy's,4.1,₹100 for one,"Kerala, South Indian, Chinese, Sichuan",32 min,14375+ orders placed from here recently
60,Adiga's,4.1,₹100 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",20 min,4400+ orders placed from here recently
61,Aubree,4.1,₹100 for one,"Bakery, Desserts, Italian, Thai, Fast Food",26 min,1275+ orders placed from here recently
62,Cream Stone Ice Cream,4.1,₹100 for one,"Ice Cream, Desserts, Beverages, Shake",16 min,1600+ orders placed from here recently
63,Chicken County Restaurant,4.2,₹150 for one,"North Indian, Chinese, Mughlai, Seafood, Fast Food, Biryani, Beverages",45 min,2725+ orders placed from here recently
64,Hotel Salam,3.8,₹150 for one,"Lebanese, Kebab, Rolls, South Indian",20 min,2775+ orders placed from here recently
65,Krishna Kuteera,4.0,₹150 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages, Desserts, Shake",50 min,7450+ orders placed from here recently
66,Momoz,3.6,₹150 for one,"Chinese, Momos, Seafood, Sichuan",33 min,975+ orders placed from here recently
67,New Punjabi Hotel,3.6,₹150 for one,"North Indian, Chinese",39 min,2700+ orders placed from here recently
68,Khanna's,3.9,₹150 for one,"North Indian, Mughlai",33 min,4300+ orders placed from here recently
69,Basmati Biriyani Nation,3.7,₹150 for one,"Biryani, Mughlai, Fast Food, Desserts",28 min,50+ orders placed from here recently
70,Jose Mess,4.2,₹150 for one,"Kerala, South Indian, Biryani",32 min,7675+ orders placed from here recently
71,Donne Biryani Palace,3.1,₹200 for one,"Biryani, South Indian, North Indian, Chinese",31 min,1300+ orders placed from here recently
72,Auntie Fung's,3.9,₹200 for one,"Asian, Thai, Chinese, Vietnamese, Japanese, Indonesian, Korean, Burmese",42 min,2250+ orders placed from here recently
73,Bucket Biryani,3.7,₹200 for one,"Biryani, North Indian, Chinese, Mughlai, Kebab",22 min,500+ orders placed from here recently
74,Mealful Rolls - India's Biggest Rolls,4.1,₹200 for one,"Rolls, North Indian, Desserts",30 min,250+ orders placed from here recently
75,Rang De Basanti Dhaba,3.8,₹200 for one,"North Indian, Seafood, Mughlai, Desserts",56 min,3075+ orders placed from here recently
76,Estaa Sweets,4.0,₹200 for one,"Mithai, Street Food, Desserts",15 min,1475+ orders placed from here recently
77,Mr. Shawarma & Miss Grills,4.0,₹200 for one,Lebanese,24 min,1850+ orders placed from here recently
78,Sangam Sweets,4.0,₹200 for one,"Mithai, Street Food, Fast Food",33 min,950+ orders placed from here recently
79,1947,3.6,₹300 for one,"North Indian, Beverages, Desserts",48 min,225+ orders placed from here recently
80,The Dessert Zone,3.9,₹300 for one,"Desserts, Bakery",18 min,400+ orders placed from here recently
81,Cakebuy,4.1,₹300 for one,Bakery,35 min,5375+ orders placed from here recently
82,Biryani Pot,3.9,₹300 for one,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps, Sichuan",30 min,4875+ orders placed from here recently
83,IBC - Indian Biryani Company,4.0,₹250 for one,"Biryani, North Indian, Chinese, Desserts, Beverages",18 min,5375+ orders placed from here recently
84,Brik Oven,4.1,₹250 for one,"Pizza, Cafe, Italian, Fast Food, Desserts, Beverages, Shake",51 min,1825+ orders placed from here recently
85,Crusto's - Cheese Burst Pizza,3.9,₹250 for one,Pizza,33 min,450+ orders placed from here recently
86,Odia Dine,3.8,₹250 for one,"North Indian, Odia",40 min,5150+ orders placed from here recently
87,Delhi Base Sri Food Court,3.9,₹100 for one,"North Indian, Chinese",46 min,4025+ orders placed from here recently
88,Sandwich Guru,4.2,₹100 for one,"Fast Food, Sandwich, Beverages, Ice Cream, Shake",13 min,3975+ orders placed from here recently
89,Cake N Chef,3.7,₹100 for one,Bakery,37 min,1100+ orders placed from here recently
90,Tharavadu Malabar Biryani,3.3,₹100 for one,"Kerala, Biryani, South Indian, North Indian, Seafood",26 min,300+ orders placed from here recently
91,Paris Panini - Gourmet Sandwiches,4.2,₹300 for one,"French, Continental, Panini, Sandwich, Desserts, Beverages",42 min,2600+ orders placed from here recently
92,Nandanam Restaurant,3.8,₹300 for one,"Kerala, South Indian, Chinese",48 min,5700+ orders placed from here recently
93,Taaka Chinese,3.7,₹300 for one,"Chinese, Asian, Oriental",23 min,150+ orders placed from here recently
94,Tandoor And Spice,4.0,₹300 for one,"North Indian, Chinese, Hyderabadi, Sichuan, Biryani",48 min,3025+ orders placed from here recently
95,Punjabites By Empire,3.7,₹300 for one,"North Indian, Mughlai, Biryani, Desserts, Beverages",44 min,300+ orders placed from here recently
96,Khan Saheb Grills And Rolls,3.6,₹300 for one,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",33 min,1875+ orders placed from here recently
97,Singh Da Punjabi Dhaba,3.9,₹300 for one,"North Indian, Biryani",23 min,1125+ orders placed from here recently
98,Mirchi Maharaj,4.0,₹300 for one,"Chinese, North Indian, Biryani, Seafood, Mughlai, Sichuan, BBQ, Andhra",25 min,700+ orders placed from here recently
99,New Kabab Zone,4.0,₹150 for one,"North Indian, Chinese, BBQ, Sichuan",38 min,750+ orders placed from here recently
100,Kolkata Durbar,3.7,₹150 for one,"Biryani, Rolls, Mughlai, North Indian",37 min,1875+ orders placed from here recently
101,Udupi Nalapaka,4.1,₹150 for one,"South Indian, North Indian, Chinese, Shake",38 min,8950+ orders placed from here recently
102,Peetuk,3.9,₹150 for one,"Bengali, Biryani, Rolls",46 min,2975+ orders placed from here recently
103,NOTO - Healthy Ice Cream,4.3,₹150 for one,"Ice Cream, Mithai, Desserts",28 min,825+ orders placed from here recently
104,Kabab Mirchi,3.9,₹150 for one,"North Indian, Mughlai, Chinese",45 min,2025+ orders placed from here recently
105,The Momo Co.,3.7,₹150 for one,"Momos, Chinese, Desserts, Beverages",20 min,525+ orders placed from here recently
106,Bake and Juice,3.7,₹150 for one,"Arabian, Sandwich, Burger, Biryani, Lebanese, Beverages, Juices, Shake",40 min,4600+ orders placed from here recently
107,ZAZA 22 Spice Biryani,4.2,₹250 for one,"Biryani, North Indian, Mughlai, Desserts, Beverages",30 min,Follows all Max Safety measures to ensure your food is safe
108,Crispy Studio,4.2,₹250 for one,"Burger, Fast Food, Wraps, Biryani",53 min,12100+ orders placed from here recently
109,Kunafa World,4.3,₹250 for one,Desserts,39 min,2475+ orders placed from here recently
110,The ThickShake Factory,4.0,₹250 for one,"Beverages, American",18 min,2450+ orders placed from here recently
111,Abhiruchi Hotel,3.6,₹250 for one,"Andhra, Biryani, North Indian, Chinese",32 min,3050+ orders placed from here recently
112,6am Biryani,3.8,₹250 for one,"Biryani, South Indian",44 min,1225+ orders placed from here recently
113,Puchkas,3.8,₹250 for one,"Street Food, North Indian, Fast Food",39 min,2025+ orders placed from here recently
114,Shanthi Sagar,3.7,₹250 for one,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake",50 min,1925+ orders placed from here recently
115,ITC Master Chef Creations,4.1,₹350 for one,"North Indian, Biryani, Mughlai, Rolls, Kebab, Desserts, Modern Indian",25 min,1525+ orders placed from here recently
116,The Meal Plate,4.1,₹350 for one,North Indian,52 min,2950+ orders placed from here recently
117,C. K. Mega Hot Food,4.0,₹350 for one,"Chinese, Seafood, Sichuan",34 min,8500+ orders placed from here recently
118,Hiyar Majhe Kolkata,3.9,₹350 for one,"Bengali, North Indian, Chinese, Biryani",36 min,3425+ orders placed from here recently
119,Ovenstore Pizza,3.1,₹200 for one,"Pizza, Fast Food",47 min,2000+ orders placed from here recently
120,Carlos Cakes,2.9,₹200 for one,Bakery,31 min,Follows all Max Safety measures to ensure your food is safe
121,Itminaan Matka Biryani - Slow Cooked,4.1,₹200 for one,"Biryani, Desserts, Beverages",30 min,75+ orders placed from here recently
122,Umpire Chicken County,3.4,₹200 for one,"Rolls, Chinese, North Indian, Biryani",49 min,1525+ orders placed from here recently
123,Anugraha Militari Hotel,3.5,₹100 for one,"South Indian, Chinese",43 min,1250+ orders placed from here recently
124,Biryani Mount,3.4,₹100 for one,"Biryani, North Indian",40 min,50+ orders placed from here recently
125,Haka,4.0,₹100 for one,"Chinese, Momos",34 min,925+ orders placed from here recently
126,Amul Ice Cream Parlour,4.3,₹100 for one,"Ice Cream, Desserts, Beverages, Shake",36 min,1450+ orders placed from here recently
127,Bangalikhana,4.1,₹150 for one,"Bengali, Seafood",45 min,2800+ orders placed from here recently
128,The Rasoiya Street,3.8,₹150 for one,"North Indian, Continental, Mexican, Chinese, Desserts, Beverages",23 min,2150+ orders placed from here recently
129,Kullad Cafe,3.8,₹150 for one,"North Indian, Fast Food, Street Food, Shake, Beverages",37 min,11600+ orders placed from here recently
130,Chung Wah,4.1,₹150 for one,"Chinese, Thai, Asian, Sichuan",49 min,4500+ orders placed from here recently
131,Social Delivery,4.1,₹350 for one,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Kebab",39 min,1625+ orders placed from here recently
132,Craving O Clock,4.3,₹350 for one,"Burger, Sandwich, Wraps, Street Food, Fast Food, Shake",37 min,9625+ orders placed from here recently
133,Roti Sabji.Com,3.5,₹350 for one,"North Indian, Beverages, Rajasthani, Shake",32 min,1800+ orders placed from here recently
134,Udupi Kitchen,3.4,₹350 for one,"South Indian, Chinese, Street Food, Desserts, Beverages, Shake, Sichuan",32 min,500+ orders placed from here recently
135,Royal County,4.0,₹150 for one,"Biryani, North Indian, Mughlai, Seafood, Chinese, Sichuan",36 min,925+ orders placed from here recently
136,Sri Krishna Sagar,3.7,₹150 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food",36 min,1475+ orders placed from here recently
137,Mandya Gowdru Donne Biryani,4.0,₹150 for one,"Biryani, South Indian, Chettinad",21 min,3575+ orders placed from here recently
138,Sri Vishnu Grand,4.0,₹150 for one,"South Indian, North Indian, Chinese, Shake, Beverages",32 min,5475+ orders placed from here recently
139,Royal Treat,4.0,₹100 for one,"North Indian, Chinese, Biryani",36 min,3175+ orders placed from here recently
140,Cheesecake & Co.,4.3,₹100 for one,"Bakery, Desserts",35 min,5425+ orders placed from here recently
141,Thalassery Restaurant Multi Cuisine,3.4,₹100 for one,"Kerala, North Indian, Seafood, Chinese, Sichuan",42 min,3500+ orders placed from here recently
142,Rusbury Fresh Sweets And Savouries,4.1,₹100 for one,"North Indian, Mithai, Desserts",31 min,3475+ orders placed from here recently
143,Aapni Rasoi,3.6,₹100 for one,"North Indian, Chinese",39 min,2950+ orders placed from here recently
144,Savi Ruchi,4.2,₹100 for one,"North Indian, South Indian, Mughlai, Street Food, Chinese, Beverages",37 min,2175+ orders placed from here recently
145,Savitha Family Restaurant,3.7,₹100 for one,"North Indian, Chinese, Seafood, Mughlai, Desserts, Beverages, Sichuan",37 min,2350+ orders placed from here recently
146,Rotti Mane,4.1,₹100 for one,South Indian,51 min,1500+ orders placed from here recently
147,Art of Delight,4.2,₹150 for one,"Ice Cream, Desserts, Waffle, Beverages",25 min,1075+ orders placed from here recently
148,Goila Butter Chicken,4.0,₹150 for one,"North Indian, Mughlai, Biryani, Rolls",38 min,625+ orders placed from here recently
149,Sri Pillaiyar Bhavan,4.2,₹150 for one,"South Indian, Chettinad, Beverages",43 min,3625+ orders placed from here recently
150,Sagar Fast Food,4.1,₹150 for one,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake",38 min,2825+ orders placed from here recently
151,Hyderabad Magic,3.9,₹150 for one,"North Indian, Mughlai, Chinese",26 min,1100+ orders placed from here recently
152,Donne Biryani,4.0,₹150 for one,"Biryani, South Indian",28 min,2150+ orders placed from here recently
153,Malabar Mess,3.8,₹150 for one,"Kerala, South Indian, Seafood, Biryani",45 min,1675+ orders placed from here recently
154,Mangala Bhavan,3.7,₹150 for one,"South Indian, Street Food, Chinese, North Indian",37 min,5925+ orders placed from here recently
155,Salena And New Salena Food Center,3.4,₹100 for one,"North Indian, Biryani, Chinese, Sichuan",36 min,2300+ orders placed from here recently
156,No Sugar Please!,4.3,₹100 for one,"Beverages, Juices, Healthy Food",28 min,3550+ orders placed from here recently
157,Delhi Food Point,3.7,₹100 for one,"North Indian, Beverages",24 min,3000+ orders placed from here recently
158,Dine Bell Restaurant,3.7,₹100 for one,"Chinese, North Indian, Biryani, Fast Food",41 min,1450+ orders placed from here recently
